"","IRI_KEY","WEEK","SY","GE","VEND","ITEM","UNITS","DOLLARS","F","D","PR","UPC","VOL_EQ","PPU"
"1",8031319,1115,0,1,37000,410,1,2.69,"NONE",0,0,"00-01-37000-00410",1.125,2.69
"2",8031319,1116,0,1,37000,407,1,2.69,"NONE",0,0,"00-01-37000-00407",1.125,2.69
"3",8031319,1117,0,1,37000,407,1,2.69,"NONE",0,0,"00-01-37000-00407",1.125,2.69
"4",8031319,1118,0,1,37000,407,1,2.29,"NONE",0,1,"00-01-37000-00407",1.125,2.29
"5",8031319,1119,0,1,37000,407,1,2.69,"NONE",0,0,"00-01-37000-00407",1.125,2.69
"6",8031319,1122,0,1,37000,407,4,10.76,"NONE",0,0,"00-01-37000-00407",1.125,2.69
"7",8031319,1123,0,1,37000,407,1,2.69,"NONE",0,0,"00-01-37000-00407",1.125,2.69
"8",8031319,1125,0,1,37000,410,1,2.69,"NONE",0,0,"00-01-37000-00410",1.125,2.69
"9",8031319,1126,0,1,37000,407,1,2.69,"NONE",0,0,"00-01-37000-00407",1.125,2.69
"10",8031319,1128,0,1,37000,407,1,2.69,"NONE",0,0,"00-01-37000-00407",1.125,2.69
"11",8031319,1131,0,1,37000,46003,1,2.69,"NONE",0,0,"00-01-37000-46003",1.125,2.69
"12",8031319,1132,0,1,37000,407,1,2.29,"NONE",0,1,"00-01-37000-00407",1.125,2.29
"13",8031319,1132,0,1,37000,46003,1,2.69,"NONE",0,0,"00-01-37000-46003",1.125,2.69
"14",8031319,1138,0,1,37000,407,1,2.69,"NONE",0,0,"00-01-37000-00407",1.125,2.69
"15",8031319,1140,0,1,37000,407,1,2.69,"NONE",0,0,"00-01-37000-00407",1.125,2.69
"16",8031319,1144,0,1,37000,407,1,2.69,"NONE",0,0,"00-01-37000-00407",1.125,2.69
"17",8031319,1146,0,1,37000,407,9,13.27,"NONE",0,1,"00-01-37000-00407",1.125,1.47444444444444
"18",8031319,1146,0,1,37000,410,1,1.5,"NONE",0,0,"00-01-37000-00410",1.125,1.5
"19",8031319,1147,0,1,37000,407,6,9,"A",0,1,"00-01-37000-00407",1.125,1.5
"20",8031319,1147,0,1,37000,46003,3,4.5,"A",0,1,"00-01-37000-46003",1.125,1.5
